{'tank_id': 56065, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R115_IS-3_auto_S.png', 'battles': 1974, 'avg_earnings': 83062, 'avg_profit': 51376, 'avg_ammo_cost': 18613, 'cost_per_shot': 1968, 'avg_repair_cost': 6600, 'avg_consumables_cost': 6472, 'earnings_per_minute': 17053, 'profit_per_minute': 10548, 'class': 'HT', 'isPrem': True, 'name': 'Peregrine'}
{'tank_id': 51233, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A132_T77.png', 'battles': 1147, 'avg_earnings': 82860, 'avg_profit': 44853, 'avg_ammo_cost': 20661, 'cost_per_shot': 2307, 'avg_repair_cost': 7839, 'avg_consumables_cost': 9506, 'earnings_per_minute': 16681, 'profit_per_minute': 9029, 'class': 'HT', 'isPrem': True, 'name': 'T77'}
{'tank_id': 44289, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R165_Object_703_II.png', 'battles': 11146, 'avg_earnings': 80570, 'avg_profit': 44090, 'avg_ammo_cost': 20931, 'cost_per_shot': 2363, 'avg_repair_cost': 7301, 'avg_consumables_cost': 8247, 'earnings_per_minute': 16317, 'profit_per_minute': 8929, 'class': 'HT', 'isPrem': True, 'name': '703 II (122)'}
{'tank_id': 53249, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png', 'battles': 2376, 'avg_earnings': 72573, 'avg_profit': 43786, 'avg_ammo_cost': 13123, 'cost_per_shot': 1391, 'avg_repair_cost': 9857, 'avg_consumables_cost': 5805, 'earnings_per_minute': 19417, 'profit_per_minute': 11715, 'class': 'HT', 'isPrem': True, 'name': 'KV-5'}
{'tank_id': 50193, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Rheinmetall_Skorpian.png', 'battles': 17920, 'avg_earnings': 72448, 'avg_profit': 43644, 'avg_ammo_cost': 16319, 'cost_per_shot': 2146, 'avg_repair_cost': 5957, 'avg_consumables_cost': 6527, 'earnings_per_minute': 12505, 'profit_per_minute': 7533, 'class': 'TD', 'isPrem': True, 'name': 'Skorpion G'}
{'tank_id': 54289, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G51_Lowe.png', 'battles': 8278, 'avg_earnings': 76269, 'avg_profit': 43383, 'avg_ammo_cost': 20379, 'cost_per_shot': 2244, 'avg_repair_cost': 6831, 'avg_consumables_cost': 5674, 'earnings_per_minute': 14812, 'profit_per_minute': 8425, 'class': 'HT', 'isPrem': True, 'name': 'Löwe'}
{'tank_id': 48401, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G112_KanonenJagdPanzer_105.png', 'battles': 2576, 'avg_earnings': 71172, 'avg_profit': 43089, 'avg_ammo_cost': 15580, 'cost_per_shot': 1825, 'avg_repair_cost': 5172, 'avg_consumables_cost': 7329, 'earnings_per_minute': 11925, 'profit_per_minute': 7220, 'class': 'TD', 'isPrem': True, 'name': 'KanJPz 105'}
{'tank_id': 62529, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F19_Lorraine40t.png', 'battles': 5416, 'avg_earnings': 72115, 'avg_profit': 42961, 'avg_ammo_cost': 15920, 'cost_per_shot': 1635, 'avg_repair_cost': 6938, 'avg_consumables_cost': 6295, 'earnings_per_minute': 14110, 'profit_per_minute': 8406, 'class': 'MT', 'isPrem': True, 'name': 'Lorr. 40 t'}
{'tank_id': 63281, 'tier': 8, 'nation': 'China', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch39_WZ120_1G_FT.png', 'battles': 3453, 'avg_earnings': 71134, 'avg_profit': 42937, 'avg_ammo_cost': 15117, 'cost_per_shot': 1784, 'avg_repair_cost': 5780, 'avg_consumables_cost': 7298, 'earnings_per_minute': 12565, 'profit_per_minute': 7584, 'class': 'TD', 'isPrem': True, 'name': 'WZ-120-1 FT'}
{'tank_id': 51361, 'tier': 8, 'nation': 'Italy', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46.png', 'battles': 43570, 'avg_earnings': 80908, 'avg_profit': 42392, 'avg_ammo_cost': 22396, 'cost_per_shot': 1859, 'avg_repair_cost': 7355, 'avg_consumables_cost': 8763, 'earnings_per_minute': 16227, 'profit_per_minute': 8502, 'class': 'MT', 'isPrem': True, 'name': 'Progetto 46'}
{'tank_id': 49665, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252U.png', 'battles': 1907, 'avg_earnings': 76514, 'avg_profit': 42357, 'avg_ammo_cost': 19586, 'cost_per_shot': 2576, 'avg_repair_cost': 6550, 'avg_consumables_cost': 8020, 'earnings_per_minute': 15970, 'profit_per_minute': 8840, 'class': 'HT', 'isPrem': True, 'name': 'Obj. 252U'}
{'tank_id': 56081, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G141_VK7501K.png', 'battles': 1361, 'avg_earnings': 74030, 'avg_profit': 42229, 'avg_ammo_cost': 17306, 'cost_per_shot': 2580, 'avg_repair_cost': 7203, 'avg_consumables_cost': 7289, 'earnings_per_minute': 14813, 'profit_per_minute': 8450, 'class': 'HT', 'isPrem': True, 'name': 'VK 75.01 K'}
{'tank_id': 61761, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F89_Canon_dassaut_de_105.png', 'battles': 1636, 'avg_earnings': 70958, 'avg_profit': 42213, 'avg_ammo_cost': 14934, 'cost_per_shot': 1749, 'avg_repair_cost': 5106, 'avg_consumables_cost': 8704, 'earnings_per_minute': 12136, 'profit_per_minute': 7220, 'class': 'TD', 'isPrem': True, 'name': 'AMX Cda 105'}
{'tank_id': 58881, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R113_Object_730.png', 'battles': 794, 'avg_earnings': 78465, 'avg_profit': 41996, 'avg_ammo_cost': 21910, 'cost_per_shot': 2625, 'avg_repair_cost': 6972, 'avg_consumables_cost': 7586, 'earnings_per_minute': 17099, 'profit_per_minute': 9152, 'class': 'HT', 'isPrem': True, 'name': 'IS-5'}
{'tank_id': 46865, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G143_E75_TS.png', 'battles': 3278, 'avg_earnings': 80406, 'avg_profit': 41963, 'avg_ammo_cost': 22974, 'cost_per_shot': 2401, 'avg_repair_cost': 7563, 'avg_consumables_cost': 7904, 'earnings_per_minute': 16929, 'profit_per_minute': 8835, 'class': 'HT', 'isPrem': True, 'name': 'E 75 TS'}
{'tank_id': 62481, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G114_Skorpian.png', 'battles': 9950, 'avg_earnings': 71918, 'avg_profit': 41936, 'avg_ammo_cost': 17420, 'cost_per_shot': 2312, 'avg_repair_cost': 5955, 'avg_consumables_cost': 6606, 'earnings_per_minute': 12550, 'profit_per_minute': 7318, 'class': 'TD', 'isPrem': True, 'name': 'Skorpion'}
{'tank_id': 60449, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A122_TS-5.png', 'battles': 4438, 'avg_earnings': 74346, 'avg_profit': 41792, 'avg_ammo_cost': 18413, 'cost_per_shot': 2007, 'avg_repair_cost': 8064, 'avg_consumables_cost': 6075, 'earnings_per_minute': 14071, 'profit_per_minute': 7909, 'class': 'TD', 'isPrem': True, 'name': 'TS-5'}
{'tank_id': 49921, 'tier': 7, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R133_KV_122.png', 'battles': 177, 'avg_earnings': 70482, 'avg_profit': 41767, 'avg_ammo_cost': 20642, 'cost_per_shot': 2925, 'avg_repair_cost': 5759, 'avg_consumables_cost': 2313, 'earnings_per_minute': 13660, 'profit_per_minute': 8094, 'class': 'HT', 'isPrem': True, 'name': 'KV-122'}
{'tank_id': 561, 'tier': 8, 'nation': 'China', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59_Gold.png', 'battles': 274, 'avg_earnings': 88700, 'avg_profit': 41701, 'avg_ammo_cost': 29200, 'cost_per_shot': 2420, 'avg_repair_cost': 6822, 'avg_consumables_cost': 10976, 'earnings_per_minute': 17118, 'profit_per_minute': 8047, 'class': 'MT', 'isPrem': True, 'name': 'Type 59 G'}
{'tank_id': 62273, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F84_Somua_SM.png', 'battles': 3346, 'avg_earnings': 73904, 'avg_profit': 41209, 'avg_ammo_cost': 19190, 'cost_per_shot': 1818, 'avg_repair_cost': 7788, 'avg_consumables_cost': 5715, 'earnings_per_minute': 14926, 'profit_per_minute': 8323, 'class': 'HT', 'isPrem': True, 'name': 'Somua SM'}
{'tank_id': 48641, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R134_Object_252K.png', 'battles': 2157, 'avg_earnings': 77015, 'avg_profit': 40855, 'avg_ammo_cost': 21982, 'cost_per_shot': 2740, 'avg_repair_cost': 6503, 'avg_consumables_cost': 7673, 'earnings_per_minute': 15620, 'profit_per_minute': 8286, 'class': 'HT', 'isPrem': True, 'name': 'Defender'}
{'tank_id': 52513, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A45_M6A2E1.png', 'battles': 709, 'avg_earnings': 80673, 'avg_profit': 40741, 'avg_ammo_cost': 27528, 'cost_per_shot': 2810, 'avg_repair_cost': 6891, 'avg_consumables_cost': 5511, 'earnings_per_minute': 17087, 'profit_per_minute': 8629, 'class': 'HT', 'isPrem': True, 'name': 'M6A2E1'}
{'tank_id': 47377, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G140_HWK_30.png', 'battles': 3724, 'avg_earnings': 65427, 'avg_profit': 40633, 'avg_ammo_cost': 7786, 'cost_per_shot': 1082, 'avg_repair_cost': 6506, 'avg_consumables_cost': 10500, 'earnings_per_minute': 14768, 'profit_per_minute': 9172, 'class': 'LT', 'isPrem': True, 'name': 'HWK 30'}
{'tank_id': 2849, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy.png', 'battles': 1672, 'avg_earnings': 71400, 'avg_profit': 40411, 'avg_ammo_cost': 16993, 'cost_per_shot': 2336, 'avg_repair_cost': 6479, 'avg_consumables_cost': 7515, 'earnings_per_minute': 14431, 'profit_per_minute': 8167, 'class': 'HT', 'isPrem': True, 'name': 'T34'}
{'tank_id': 60225, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png', 'battles': 49589, 'avg_earnings': 85738, 'avg_profit': 40385, 'avg_ammo_cost': 25855, 'cost_per_shot': 2977, 'avg_repair_cost': 6483, 'avg_consumables_cost': 13014, 'earnings_per_minute': 16862, 'profit_per_minute': 7942, 'class': 'MT', 'isPrem': True, 'name': 'Bourrasque'}
{'tank_id': 33313, 'tier': 9, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A156_T54_2022.png', 'battles': 1154, 'avg_earnings': 91142, 'avg_profit': 40175, 'avg_ammo_cost': 25623, 'cost_per_shot': 2688, 'avg_repair_cost': 14192, 'avg_consumables_cost': 11150, 'earnings_per_minute': 16359, 'profit_per_minute': 7211, 'class': 'HT', 'isPrem': True, 'name': 'T54 Heavy'}
{'tank_id': 52129, 'tier': 8, 'nation': 'Italy', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It13_Progetto_M35_mod_46_LE.png', 'battles': 1947, 'avg_earnings': 81772, 'avg_profit': 40098, 'avg_ammo_cost': 23944, 'cost_per_shot': 1926, 'avg_repair_cost': 7242, 'avg_consumables_cost': 10486, 'earnings_per_minute': 15827, 'profit_per_minute': 7761, 'class': 'MT', 'isPrem': True, 'name': 'Mars'}
{'tank_id': 43297, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A158_T832.png', 'battles': 14998, 'avg_earnings': 86530, 'avg_profit': 39990, 'avg_ammo_cost': 30829, 'cost_per_shot': 2784, 'avg_repair_cost': 7501, 'avg_consumables_cost': 8209, 'earnings_per_minute': 16413, 'profit_per_minute': 7585, 'class': 'HT', 'isPrem': True, 'name': 'T-832'}
{'tank_id': 47361, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG_Tday.png', 'battles': 1350, 'avg_earnings': 62598, 'avg_profit': 39817, 'avg_ammo_cost': 11394, 'cost_per_shot': 1521, 'avg_repair_cost': 7201, 'avg_consumables_cost': 4184, 'earnings_per_minute': 11981, 'profit_per_minute': 7621, 'class': 'MT', 'isPrem': True, 'name': 'Guard'}
{'tank_id': 53121, 'tier': 8, 'nation': 'Sweden', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S26_Lansen_C.png', 'battles': 3735, 'avg_earnings': 75053, 'avg_profit': 39729, 'avg_ammo_cost': 20387, 'cost_per_shot': 2085, 'avg_repair_cost': 6971, 'avg_consumables_cost': 7964, 'earnings_per_minute': 13953, 'profit_per_minute': 7386, 'class': 'MT', 'isPrem': True, 'name': 'Lansen C'}
{'tank_id': 60753, 'tier': 8, 'nation': 'UK', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB115_Gonsalo.png', 'battles': 3835, 'avg_earnings': 78768, 'avg_profit': 39487, 'avg_ammo_cost': 24352, 'cost_per_shot': 3119, 'avg_repair_cost': 6315, 'avg_consumables_cost': 8613, 'earnings_per_minute': 16086, 'profit_per_minute': 8064, 'class': 'HT', 'isPrem': True, 'name': 'Gonsalo'}
{'tank_id': 913, 'tier': 8, 'nation': 'Poland', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl08_50TP_prototyp.png', 'battles': 3959, 'avg_earnings': 70108, 'avg_profit': 39466, 'avg_ammo_cost': 16145, 'cost_per_shot': 2146, 'avg_repair_cost': 7233, 'avg_consumables_cost': 7263, 'earnings_per_minute': 14683, 'profit_per_minute': 8265, 'class': 'HT', 'isPrem': True, 'name': '50TP pr.'}
{'tank_id': 64049, 'tier': 8, 'nation': 'China', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch14_T34_3.png', 'battles': 3376, 'avg_earnings': 70644, 'avg_profit': 39335, 'avg_ammo_cost': 17208, 'cost_per_shot': 2145, 'avg_repair_cost': 7431, 'avg_consumables_cost': 6669, 'earnings_per_minute': 14112, 'profit_per_minute': 7857, 'class': 'MT', 'isPrem': True, 'name': 'T-34-3'}
{'tank_id': 52865, 'tier': 8, 'nation': 'Sweden', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S25_EMIL_51.png', 'battles': 3088, 'avg_earnings': 75867, 'avg_profit': 39310, 'avg_ammo_cost': 20651, 'cost_per_shot': 2250, 'avg_repair_cost': 6735, 'avg_consumables_cost': 9169, 'earnings_per_minute': 15555, 'profit_per_minute': 8060, 'class': 'HT', 'isPrem': True, 'name': 'EMIL 1951'}
{'tank_id': 57377, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A111_T25_Pilot.png', 'battles': 285, 'avg_earnings': 73985, 'avg_profit': 39302, 'avg_ammo_cost': 22693, 'cost_per_shot': 1907, 'avg_repair_cost': 7244, 'avg_consumables_cost': 4745, 'earnings_per_minute': 14004, 'profit_per_minute': 7439, 'class': 'MT', 'isPrem': True, 'name': 'T25 Pilot 1'}
{'tank_id': 33057, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A152_M_Project.png', 'battles': 11455, 'avg_earnings': 77014, 'avg_profit': 39273, 'avg_ammo_cost': 23903, 'cost_per_shot': 2426, 'avg_repair_cost': 5927, 'avg_consumables_cost': 7910, 'earnings_per_minute': 15287, 'profit_per_minute': 7795, 'class': 'MT', 'isPrem': True, 'name': 'Iron Arnie'}
{'tank_id': 47617, 'tier': 8, 'nation': 'USSR', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG.png', 'battles': 440, 'avg_earnings': 77276, 'avg_profit': 38966, 'avg_ammo_cost': 20435, 'cost_per_shot': 2434, 'avg_repair_cost': 6929, 'avg_consumables_cost': 10945, 'earnings_per_minute': 14167, 'profit_per_minute': 7143, 'class': 'MT', 'isPrem': True, 'name': 'STG'}
{'tank_id': 34081, 'tier': 8, 'nation': 'USA', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A149_AMBT.png', 'battles': 8154, 'avg_earnings': 80441, 'avg_profit': 38929, 'avg_ammo_cost': 24987, 'cost_per_shot': 2853, 'avg_repair_cost': 6781, 'avg_consumables_cost': 9742, 'earnings_per_minute': 15669, 'profit_per_minute': 7583, 'class': 'MT', 'isPrem': True, 'name': 'AMBT'}
{'tank_id': 45841, 'tier': 8, 'nation': 'Germany', 'image': 'https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH.png', 'battles': 8492, 'avg_earnings': 73719, 'avg_profit': 38812, 'avg_ammo_cost': 18723, 'cost_per_shot': 1336, 'avg_repair_cost': 7289, 'avg_consumables_cost': 8894, 'earnings_per_minute': 15431, 'profit_per_minute': 8124, 'class': 'MT', 'isPrem': True, 'name': 'Kpz 07 RH'}
{'tank_id': 62785, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949.png', 'battles': 646, 'avg_earnings': 74336, 'avg_profit': 38740, 'avg_ammo_cost': 20724, 'cost_per_shot': 2153, 'avg_repair_cost': 8165, 'avg_consumables_cost': 6706, 'earnings_per_minute': 15542, 'profit_per_minute': 8099, 'class': 'HT', 'isPrem': True, 'name': 'AMX M4 49'}
{'tank_id': 51089, 'tier': 8, 'nation': 'Poland', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl19_CS_52_LIS.png', 'battles': 11994, 'avg_earnings': 77540, 'avg_profit': 38614, 'avg_ammo_cost': 23426, 'cost_per_shot': 2379, 'avg_repair_cost': 6909, 'avg_consumables_cost': 8589, 'earnings_per_minute': 15117, 'profit_per_minute': 7528, 'class': 'MT', 'isPrem': True, 'name': 'CS-52 LIS'}
{'tank_id': 63041, 'tier': 8, 'nation': 'France', 'image': 'https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F73_M4A1_Revalorise.png', 'battles': 1352, 'avg_earnings': 63418, 'avg_profit': 38570, 'avg_ammo_cost': 10525, 'cost_per_shot': 1257, 'avg_repair_cost': 7382, 'avg_consumables_cost': 6940, 'earnings_per_minute': 11473, 'profit_per_minute': 6977, 'class': 'MT', 'isPrem': True, 'name': 'M4A1 Rev.'}
{'tank_id': 60529, 'tier': 8, 'nation': 'Czech', 'image': 'https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/czech-Cz20_ShPTK_TVP_100_mm.png', 'battles': 26833, 'avg_earnings': 74836, 'avg_profit': 38017, 'avg_ammo_cost': 21209, 'cost_per_shot': 1488, 'avg_repair_cost': 6039, 'avg_consumables_cost': 9569, 'earnings_per_minute': 13309, 'profit_per_minute': 6761, 'class': 'TD', 'isPrem': True, 'name': 'ShPTK-TVP'}
