cost_per_shot,image,tank_id,avg_consumables_cost,avg_profit,avg_ammo_cost,tier,nation,earnings_per_minute,class,isPrem,avg_earnings,avg_repair_cost,name,battles,profit_per_minute
2602,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A45_M6A2E1.png,52513,6503,40992,25410,8,USA,16418,HT,True,79785,6879,M6A2E1,1487,8435
1056,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G140_HWK_30.png,47377,9526,40711,7557,8,Germany,14696,LT,True,64311,6515,HWK 30,5925,9303
1317,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/germany-G154_Kpz_07_RH.png,45841,8360,40557,18403,8,Germany,15318,MT,True,74581,7260,Kpz 07 RH,13923,8329
2816,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G141_VK7501K.png,56081,7720,40486,19247,8,Germany,14552,HT,True,74686,7231,VK 75.01 K,2326,7888
1640,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R54_KV-5.png,53249,6468,40412,15534,8,USSR,17950,HT,True,72090,9675,KV-5,3760,10062
2097,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S26_Lansen_C.png,53121,7588,40253,20359,8,Sweden,13999,MT,True,75119,6918,Lansen C,5848,7501
2568,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A13_T34_hvy_BF.png,59425,8801,40203,19801,8,USA,15045,HT,True,75201,6395,T34 B,642,8043
2843,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A149_AMBT.png,34081,9189,39933,25106,8,USA,15607,MT,True,80987,6758,AMBT,12462,7695
2964,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F116_Bat_Chatillon_Bourrasque.png,60225,12636,39905,25611,8,France,16554,MT,True,84641,6487,Bourrasque,93646,7805
2661,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A156_T54_2022.png,33313,9778,39862,24887,9,USA,16144,HT,True,88804,14275,T54 Heavy,1567,7247
2386,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/usa-A152_M_Project.png,33057,8083,39686,23549,8,USA,15110,MT,True,77264,5944,Iron Arnie,23960,7761
2758,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch03_WZ-111.png,817,9732,39510,24723,8,China,16486,HT,True,82164,8198,WZ-111,502,7927
2404,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/poland-Pl19_CS_52_LIS.png,51089,8239,39469,23466,8,Poland,15302,MT,True,78090,6914,CS-52 LIS,18903,7734
2644,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/usa-A141_M_IV_Y.png,43553,7340,39451,26485,8,USA,15431,HT,True,79849,6572,M-IV-Y,1343,7624
3107,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB115_Gonsalo.png,60753,9409,39293,24348,8,UK,15868,HT,True,79333,6281,Gonsalo,5281,7859
2026,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949.png,62785,6505,39195,18326,8,France,15282,HT,True,72215,8187,AMX M4 49,1136,8294
1482,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/czech-Cz20_ShPTK_TVP_100_mm.png,60529,9013,39027,20987,8,Czech,13313,TD,True,75055,6027,ShPTK-TVP,39047,6922
1275,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F73_M4A1_Revalorise.png,63041,6761,38967,10616,8,France,11448,MT,True,63664,7319,M4A1 Rev.,2186,7007
2279,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S25_EMIL_51.png,52865,9677,38822,21144,8,Sweden,15255,HT,True,76355,6710,EMIL 1951,4259,7756
1250,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB101_FV1066_Senlac.png,58449,9723,38599,9347,8,UK,14399,LT,True,63393,5724,Senlac,2247,8767
2774,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R177_ISU_152K_BL10.png,31745,9819,38245,14669,8,USSR,11496,TD,True,68507,5772,ISU-152K,6428,6418
2254,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R146_STG.png,47617,11404,37721,17950,8,USSR,14191,MT,True,74063,6987,STG,636,7227
1884,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F97_ELC_EVEN_90.png,61505,12777,37536,10772,8,France,13839,LT,True,65811,4724,ELC EVEN 90,38142,7893
1081,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G120_M41_90_GrandFinal.png,50961,6038,37372,7440,8,Germany,13699,LT,True,56309,5458,M 41 90 GF,3085,9091
6319,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch47_BZ_176.png,60209,11432,37311,35966,8,China,18978,HT,True,92576,7865,BZ-176,51487,7649
1734,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A80_T26_E4_SuperPershing.png,13345,7039,37228,19941,8,USA,13602,MT,True,71951,7743,T26E4,5964,7037
3091,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G138_VK168_02_Mauerbrecher.png,48145,3004,37193,22567,8,Germany,13636,HT,True,70523,7758,Mauerbrecher,230,7191
2838,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch23_112.png,64561,6342,37093,24492,8,China,15036,HT,True,74498,6569,112,1721,7487
2498,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59.png,49,8618,36942,29718,8,China,15832,MT,True,82194,6914,Type 59,6839,7115
1807,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F74_AMX_M4_1949_Liberte.png,62017,5104,36779,16139,8,France,13912,HT,True,66169,8145,AMX M4 49 L,2053,7733
2066,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R180_Object_274_A.png,32257,8273,36766,19600,8,USSR,14240,MT,True,71085,6444,Obj. 274a,5985,7365
2833,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/italy-It30_CC_mod_64_Prem.png,50337,6805,36732,23268,8,Italy,14286,TD,True,73958,7152,Vipera,9720,7095
1001,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R158_LT_432.png,45569,11681,36623,8304,8,USSR,15399,LT,True,66283,9673,LT-432,20920,8508
1096,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A117_T26E5_Patriot.png,59169,4996,36616,12857,8,USA,13183,HT,True,62888,8418,T26E5 P,3255,7676
1796,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A127_TL_1_LPC.png,62241,6671,36320,17811,8,USA,13580,MT,True,68287,7484,TL-1 LPC,1269,7223
1753,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R135_T_103.png,48385,5895,36141,13722,8,USSR,11545,TD,True,62285,6525,T-103,6264,6699
1611,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch26_59_Patton.png,63793,7423,35876,16848,8,China,13018,MT,True,67399,7251,59-Patton,757,6929
1400,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A117_T26E5.png,58913,6690,35806,17053,8,USA,13891,HT,True,67906,8356,T26E5,1223,7324
2056,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/france-F117_Alt_Proto_AMX_30.png,32065,8620,35665,19622,8,France,14401,MT,True,71094,7185,A.P. AMX 30,5574,7224
2873,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/sweden-S32_Bofors_Tornvagn.png,54657,8143,35641,23015,8,Sweden,14585,HT,True,74224,7424,Tornvagn,2579,7003
3459,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R192_K_2.png,34561,8451,35618,29469,8,USSR,15371,HT,True,81448,7909,K-2,2497,6722
1393,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J18_STA_2_3.png,52065,4813,35408,15427,8,Japan,11638,MT,True,63143,7494,STA-2,2509,6526
1196,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch42_WalkerBulldog_M41D.png,62001,9381,35356,10884,8,China,14657,LT,True,61788,6166,M41D,1685,8387
2268,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R61_Object252_BF.png,49409,4540,35329,19445,8,USSR,13642,HT,True,66360,7045,IS-6 B,1291,7262
1780,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A111_T25_Pilot.png,57377,4595,35067,19844,8,USA,12403,MT,True,66933,7426,T25 Pilot 1,535,6498
3051,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R133_KV_122.png,49921,3615,34956,21560,7,USSR,13118,HT,True,65918,5785,KV-122,272,6956
3051,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB112_Caliban.png,51537,8151,34918,15377,8,UK,12553,HT,True,64643,6196,Caliban,6342,6781
2395,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch01_Type59_Gold.png,561,13812,34729,29242,8,China,15958,MT,True,84686,6902,Type 59 G,485,6544
2350,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch03_WZ_111_A.png,65073,9196,34696,19824,8,China,14431,HT,True,72251,8534,Alpine Tiger,553,6930
2123,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G142_M48RPz.png,46609,8676,34428,27315,8,Germany,14129,MT,True,77944,7523,M48 RPz,739,6241
1284,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Pz58_Mutz.png,64273,4330,33636,12887,8,Germany,10857,MT,True,57637,6782,Pz. 58 Mutz,1093,6336
1494,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G120_M41_90.png,64017,12045,33364,10178,8,Germany,15226,LT,True,61101,5512,M 41 90 mm,829,8314
2722,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R123_Kirovets_1.png,62721,9789,32940,23613,8,USSR,15909,HT,True,77600,11257,Kirovets-1,2325,6753
2574,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G138_VK168_02.png,48913,10198,32650,18686,8,Germany,13672,HT,True,69565,8029,VK 168.01 P,670,6417
1385,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Panzer58_BF.png,49937,2388,32519,13434,8,Germany,10326,MT,True,55035,6693,Schwarzpz.58,566,6101
2282,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R121_KV4_KTT.png,62209,7326,31968,21337,8,USSR,14220,TD,True,68983,8350,KV-4 KTTS,733,6590
1917,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch40_WZ120G_FT.png,63025,7845,31756,16007,9,China,10061,TD,True,65136,9528,WZ-120G FT,430,4905
1736,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB94_Centurion_Mk5-1_RAAC.png,56913,6767,31755,19806,8,UK,13377,MT,True,65682,7353,Centurion 5/1,5001,6467
3238,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R61_Object252.png,9217,6996,31711,29062,8,USSR,14511,HT,True,74683,6913,IS-6,1775,6161
2693,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R122_T44_100.png,61953,9415,31484,32728,8,USSR,14837,MT,True,80321,6693,T-44-100,3925,5816
2058,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G106_PzKpfwPanther_AusfF.png,60177,5993,31253,22932,8,Germany,12775,MT,True,68098,7919,"Panther 8,8",1142,5863
2009,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R128_KV4_Kreslavskiy.png,63233,7597,31025,18376,8,USSR,14739,HT,True,67723,10723,KV-4 Kresl.,327,6752
2085,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A63_M46_Patton_KR.png,57121,6768,30871,22473,8,USA,13205,MT,True,67753,7639,M46 KR,754,6017
3639,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/usa-A140_ASTRON_REX_105mm.png,35105,10368,30649,36882,8,USA,15453,MT,True,84369,6469,ASTRON Rex,2832,5614
2286,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/czech-Cz13_T_27.png,51825,8028,30606,25379,8,Czech,13627,MT,True,71092,7077,Škoda T 27,4039,5866
1663,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S23_Strv_81_sabaton.png,52609,4458,30600,17084,8,Sweden,12763,MT,True,63986,11842,P:Victoria,237,6104
1427,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G109_Steyr_WT.png,61713,4069,30169,15142,7,Germany,8744,TD,True,53257,3876,Steyr WT,1956,4953
1222,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A99_T92_LT.png,57889,10403,30039,8918,8,USA,12943,LT,True,54856,5495,T92,3357,7088
2076,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/sweden-S23_Strv_81.png,52353,5800,29898,24941,8,Sweden,13477,MT,True,72260,11620,Strv 81,793,5576
2842,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A115_Chrysler_K_GF.png,58657,5665,29801,28341,8,USA,15608,HT,True,70594,6786,Chrysler GF,1411,6588
3146,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB109_GSOR_1008.png,52305,7928,29796,31142,8,UK,12740,TD,True,74804,5936,GSOR 1008,12528,5074
2554,https://api.worldoftanks.com/static/2.69.0/wot/encyclopedia/vehicle/contour/sweden-S31_Strv_K.png,54145,9415,29761,25557,9,Sweden,15225,HT,True,82163,17429,Strv K,2137,5515
2169,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R112_T54_45.png,59905,6071,29736,23175,8,USSR,13209,MT,True,65980,6996,T-54 mod. 1,3746,5953
2134,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB70_N_FV4202_105.png,55633,7756,29456,23882,8,UK,13552,MT,True,68532,7437,FV4202,1772,5825
2287,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB99_Turtle_Mk1.png,59985,8094,29306,26573,8,UK,13010,TD,True,71727,7752,Turtle I,3306,5315
1479,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G65_JagdTiger_SdKfz_185.png,55313,7061,28120,19233,8,Germany,11547,TD,True,62459,8043,"JgTig.8,8 cm",951,5198
3184,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A115_Chrysler_K.png,60193,6764,27837,30181,8,USA,14627,HT,True,71473,6690,Chrysler K,822,5697
3442,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R188_Object_259A_CN.png,64001,11215,27828,31979,8,USSR,14714,HT,True,78850,7827,Udarniy,258,5193
1847,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB87_Chieftain_T95_turret.png,15441,7881,27447,18826,8,UK,13276,MT,True,65264,11107,Chieftain/T95,2050,5583
3212,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A136_T42.png,50721,6824,27255,32231,8,USA,13694,MT,True,73248,6936,T42,1286,5095
1866,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/china-Ch02_Type62.png,305,8007,26508,16744,7,China,12104,LT,True,55041,3780,Type 62,2054,5829
2166,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/uk-GB93_Caernarvon_AX.png,56657,7795,26309,28276,8,UK,14587,HT,True,69126,6745,Caernarvon AX,4185,5551
292,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F28_105_leFH18B2.png,2113,4407,26184,6279,5,France,5895,SPG,True,37534,663,leFH18B2,7284,4112
2510,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G119_Panzer58.png,63761,6580,26060,25215,8,Germany,12123,MT,True,64859,7002,Pz. 58,142,4871
3043,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/uk-GB110_FV4201_Chieftain_Prototype.png,51793,11692,25998,31657,9,UK,16078,HT,True,86492,17143,Chieftain P.,5372,4832
1497,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/france-F65_FCM_50t.png,64065,16889,25782,19424,8,France,14612,HT,True,69896,7800,FCM 50 t,578,5390
695,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G70_PzIV_Hydro.png,55057,2400,25505,11212,5,Germany,8267,MT,True,40831,1712,Pz. IV hydr.,131,5164
2758,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/china-Ch45_WZ_114.png,60465,11662,25430,19723,9,China,13534,HT,True,77701,20884,WZ-114,1565,4429
1611,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/germany-G118_VK4503.png,62993,5667,25064,13748,7,Germany,10754,HT,True,51635,7154,VK 45.03,489,5220
2123,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A126_PzVI_Tiger_II_capt.png,61473,5742,24793,22976,7,USA,11468,HT,True,59673,6161,King Tiger (C),1684,4764
2700,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R175_IS_2_screen.png,31233,2799,24452,20775,7,USSR,9876,HT,True,53788,5760,IS-2S,1382,4490
1330,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A101_M56.png,56353,4130,24294,12785,7,USA,7494,TD,True,45230,4019,Scorpion,2756,4025
2211,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R89_SU122_44.png,55297,4438,24262,17427,7,USSR,9260,TD,True,51613,5484,SU-122-44,2517,4353
1725,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/usa-A121_M26_Cologne.png,59937,4328,24160,16192,7,USA,9779,MT,True,50127,5445,Eagle 7,653,4713
921,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/japan-J12_Chi_Nu_Kai.png,51553,3182,23893,11277,5,Japan,7976,MT,True,39902,1549,Chi-Nu Kai,471,4776
1030,https://api.worldoftanks.com/static/2.71.0/wot/encyclopedia/vehicle/contour/ussr-R193_M4A2_T_34.png,34305,6187,23637,10883,5,USSR,8170,MT,True,42358,1650,M4-85,144,4559
2653,https://api.worldoftanks.com/static/2.66.0/wot/encyclopedia/vehicle/contour/ussr-R71_IS_2B.png,59137,3164,23626,19451,7,USSR,10154,HT,True,52283,6041,IS-2,700,4588
